x,y,th
0.2,1.8,3.141592653589793
0.2,1.8,3.141592653589793
0.2,1.8,3.141592653589793
0.2,1.8,3.141592653589793
0.2,1.8,-3.1066860685499065
0.2,1.8,-3.01941960595019
0.2,1.8,-2.949606435870417
0.2,1.8,-2.8623399732707004
0.2,1.8,-2.792526803190927
0.2,1.8,-2.705260340591211
0.2,1.8,-2.6354471705114375
0.2,1.8,-2.548180707911721
0.2,1.8,-2.478367537831948
0.2,1.8,-2.4085543677521746
0.2,1.8,-2.321287905152458
0.2,1.8,-2.2514747350726854
0.2,1.8,-2.181661564992912
0.2,1.8,-2.111848394913139
0.2,1.8,-2.0245819323134224
0.2,1.8,-1.9547687622336491
0.2,1.8,-1.8849555921538759
0.2,1.8,-1.7976891295541595
0.2,1.8,-1.7278759594743862
0.2,1.8,-1.658062789394613
0.1998971968402797,1.7941104109241026,-1.5882496193148397
0.20014430214884207,1.787034240720558,-1.5358897417550104
0.20117155101816178,1.772343897477832,-1.5009831567151233
0.20178381577403132,1.7653456792951059,-1.4835298641951802
0.20297494770184285,1.7556446882335874,-1.448623279155294
0.20477694337768454,1.7442673353058042,-1.413716694115407
