INFO:root:Program started
INFO:root:Robot set up!
ERROR:root:get_sensor error: Sensor not configured or not supported.
INFO:root:Odometry was started, PID: 2485:
INFO:root:Initial location: 0.0, 0.0, 0.0
INFO:root:The blob's size is: 19.921239852905273
INFO:root:Found the ball! Approaching...
INFO:root:The blob's size is: 19.032962799072266
INFO:root:The blob's size is: 18.870361328125
INFO:root:The blob's size is: 18.80025291442871
INFO:root:The blob's size is: 20.43266487121582
INFO:root:The blob's size is: 19.81369400024414
INFO:root:The blob's size is: 19.397558212280273
INFO:root:The blob's size is: 18.202587127685547
INFO:root:The blob's size is: 19.051931381225586
INFO:root:The blob's size is: 18.931529998779297
INFO:root:The blob's size is: 19.817907333374023
INFO:root:The blob's size is: 19.93103790283203
INFO:root:The blob's size is: 19.78105354309082
INFO:root:The blob's size is: 19.155010223388672
INFO:root:The blob's size is: 20.882600784301758
INFO:root:The blob's size is: 19.646656036376953
INFO:root:The blob's size is: 20.6552791595459
INFO:root:The blob's size is: 21.54848289489746
INFO:root:The blob's size is: 20.915729522705078
INFO:root:The blob's size is: 22.052181243896484
INFO:root:The blob's size is: 22.057716369628906
INFO:root:The blob's size is: 22.075590133666992
INFO:root:The blob's size is: 23.441747665405273
INFO:root:The blob's size is: 23.091428756713867
INFO:root:The blob's size is: 22.94219970703125
INFO:root:The blob's size is: 22.362934112548828
INFO:root:The blob's size is: 24.636926651000977
INFO:root:The blob's size is: 24.70936393737793
INFO:root:The blob's size is: 24.736265182495117
WARNING:root:Lost the ball! Searching again...
INFO:root:The blob's size is: 25.44979476928711
INFO:root:Found the ball! Approaching...
INFO:root:The blob's size is: 26.073089599609375
INFO:root:The blob's size is: 26.876890182495117
INFO:root:The blob's size is: 26.194047927856445
INFO:root:The blob's size is: 26.847471237182617
INFO:root:The blob's size is: 28.024690628051758
INFO:root:The blob's size is: 29.077444076538086
INFO:root:The blob's size is: 28.61878776550293
INFO:root:The blob's size is: 28.665420532226562
WARNING:root:Lost the ball! Searching again...
INFO:root:The blob's size is: 28.631990432739258
INFO:root:Found the ball! Approaching...
INFO:root:The blob's size is: 30.369903564453125
INFO:root:The blob's size is: 30.78737449645996
INFO:root:The blob's size is: 32.042301177978516
INFO:root:The blob's size is: 32.49209213256836
INFO:root:The blob's size is: 32.67864227294922
INFO:root:The blob's size is: 34.697845458984375
INFO:root:The blob's size is: 33.535255432128906
INFO:root:The blob's size is: 33.983802795410156
INFO:root:The blob's size is: 34.176815032958984
INFO:root:The blob's size is: 34.4298095703125
INFO:root:The blob's size is: 35.686073303222656
INFO:root:The blob's size is: 35.928489685058594
INFO:root:The blob's size is: 36.079490661621094
INFO:root:The blob's size is: 38.02908706665039
INFO:root:The blob's size is: 37.154632568359375
INFO:root:The blob's size is: 38.787940979003906
INFO:root:The blob's size is: 36.84305191040039
INFO:root:The blob's size is: 40.24394989013672
INFO:root:The blob's size is: 41.06411361694336
INFO:root:The blob's size is: 42.31589889526367
INFO:root:The blob's size is: 43.01016616821289
INFO:root:The blob's size is: 43.893798828125
INFO:root:The blob's size is: 45.62921142578125
INFO:root:The blob's size is: 45.30723571777344
INFO:root:The blob's size is: 47.570430755615234
INFO:root:The blob's size is: 48.26247787475586
INFO:root:The blob's size is: 49.081390380859375
INFO:root:The blob's size is: 51.611270904541016
INFO:root:The blob's size is: 50.890769958496094
INFO:root:The blob's size is: 53.31035232543945
INFO:root:The blob's size is: 53.90072250366211
INFO:root:The blob's size is: 55.829715728759766
INFO:root:The blob's size is: 57.75287628173828
INFO:root:The blob's size is: 58.21671676635742
INFO:root:The blob's size is: 59.03772735595703
INFO:root:The blob's size is: 61.09521484375
INFO:root:The blob's size is: 62.67782211303711
INFO:root:The blob's size is: 63.68466567993164
INFO:root:The blob's size is: 66.09912109375
INFO:root:The blob's size is: 67.74562072753906
INFO:root:The blob's size is: 68.31133270263672
INFO:root:The blob's size is: 70.09132385253906
INFO:root:The blob's size is: 72.09890747070312
INFO:root:The blob's size is: 73.81118774414062
INFO:root:The blob's size is: 75.00807189941406
INFO:root:The blob's size is: 77.0798110961914
INFO:root:The blob's size is: 78.63574981689453
INFO:root:The blob's size is: 79.87242889404297
INFO:root:The blob's size is: 81.11260986328125
INFO:root:The blob's size is: 83.363525390625
INFO:root:The blob's size is: 84.82501983642578
INFO:root:The blob's size is: 85.1066665649414
INFO:root:The blob's size is: 86.62989044189453
INFO:root:The blob's size is: 88.54076385498047
INFO:root:The blob's size is: 90.25992584228516
INFO:root:The blob's size is: 90.80179595947266
INFO:root:The blob's size is: 91.34442138671875
INFO:root:The blob's size is: 91.97634887695312
INFO:root:The blob's size is: 93.0291748046875
INFO:root:The blob's size is: 94.7422866821289
INFO:root:The blob's size is: 95.21483612060547
WARNING:root:Lost the ball! Searching again...
INFO:root:The blob's size is: 97.07833862304688
INFO:root:Found the ball! Approaching...
INFO:root:The blob's size is: 97.696533203125
INFO:root:Ready to grab the ball.
INFO:root:The blob's size is: 97.64078521728516
INFO:root:Ball centered and ready to be catched!
